,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,253.3,254.2,259.8,259.8
1,501,502.8,504.2,524.7,524.7
2,751,753.1,753.7,776.4,776.4
3,1001,1002.8,1004.5,1047.7,1047.7
4,1251,1253.3,1254.2,1306.5,1306.5
5,1501,1502.9,1505.0,1563.0,1563.0
6,1751,1752.9,1754.7,1833.2,1833.2
7,2001,2002.9,2004.4,2088.9,2088.9
8,2251,2253.2,2254.3,2360.2,2360.2
9,2501,2502.9,2504.7,2651.6,2651.6
10,2751,2753.0,2755.0,2901.4,2901.4
11,3001,3003.1,3004.5,3114.3,3114.3
12,3251,3253.3,3254.7,3450.7,3450.7
13,3501,3502.8,3504.3,3681.4,3681.4
14,3751,3752.8,3754.3,3920.8,3920.8
15,4001,4003.1,4004.0,4173.0,4173.0
16,4251,4253.4,4254.2,4480.3,4480.3
17,4501,4503.5,4504.5,4712.2,4712.2
18,4751,4753.0,4754.3,4992.4,4992.4
19,5001,5003.2,5004.7,5323.9,5323.9
20,5251,5253.1,5254.6,5413.2,5413.2
21,5501,5503.0,5505.0,5813.5,5813.5
22,5751,5753.0,5754.4,6070.9,6070.9
23,6001,6003.2,6004.1,6412.2,6412.2
24,6251,6252.8,6254.1,6583.9,6583.9
25,6501,6503.3,6504.9,6721.0,6721.0
26,6751,6753.1,6754.6,7188.8,7188.8
27,7001,7003.1,7004.0,7293.0,7293.0
28,7251,7252.9,7253.8,7642.2,7642.2
29,7501,7503.1,7504.1,8024.4,8024.4
30,7751,7753.2,7754.0,8141.2,8141.2
31,8001,8003.1,8004.6,8589.1,8589.1
32,8251,8253.2,8254.7,8918.5,8918.5
33,8501,8502.8,8504.1,8990.8,8990.8
34,8751,8753.3,8754.6,9133.4,9133.4
35,9001,9003.1,9004.0,9382.5,9382.5
36,9251,9252.9,9254.0,9819.9,9819.9
37,9501,9502.8,9504.4,9881.9,9881.9
38,9751,9753.0,9754.0,10486.5,10486.5
39,10001,10002.8,10004.4,10469.6,10469.6
40,10251,10253.1,10254.0,10850.9,10850.9
41,10501,10503.3,10504.4,10929.7,10929.7
42,10751,10753.4,10754.1,11130.9,11130.9
43,11001,11002.9,11004.4,11516.3,11516.3
44,11251,11252.9,11254.6,11800.4,11800.4
45,11501,11503.1,11504.6,12005.1,12005.1
46,11751,11752.6,11754.7,12144.9,12144.9
47,12001,12003.1,12004.2,12456.7,12456.7
48,12251,12253.0,12253.6,12785.5,12785.5
49,12501,12503.3,12504.1,13132.1,13132.1
50,12751,12753.3,12753.8,13531.8,13531.8
51,13001,13003.2,13004.2,13655.9,13655.9
52,13251,13253.1,13254.5,13927.7,13927.7
53,13501,13503.1,13504.7,14228.8,14228.8
54,13751,13753.1,13754.1,14518.2,14518.2
55,14001,14003.2,14004.7,14511.6,14511.6
56,14251,14252.8,14254.6,14886.9,14886.9
57,14501,14503.2,14504.1,15223.0,15223.0
58,14751,14752.6,14754.6,15492.1,15492.1
59,15001,15003.2,15004.1,15707.4,15707.4
60,15251,15252.9,15254.6,15859.2,15859.2
61,15501,15503.1,15504.5,16006.0,16006.0
62,15751,15753.2,15754.3,16459.4,16459.4
63,16001,16002.8,16004.5,16858.0,16858.0
64,16251,16252.9,16254.4,17104.3,17104.3
65,16501,16502.9,16505.0,17315.6,17315.6
66,16751,16753.1,16755.0,17470.5,17470.5
67,17001,17002.7,17004.9,17548.9,17548.9
68,17251,17253.1,17254.5,18061.0,18061.0
69,17501,17503.0,17504.9,17939.3,17939.3
70,17751,17752.7,17754.6,18882.1,18882.1
71,18001,18002.9,18004.5,18692.2,18692.2
72,18251,18252.9,18254.4,18792.8,18792.8
73,18501,18503.2,18504.4,19141.5,19141.5
74,18751,18753.0,18754.5,20043.2,20043.2
75,19001,19003.1,19003.9,20415.8,20415.8
76,19251,19252.7,19254.5,20444.2,20444.2
77,19501,19503.0,19504.5,20337.5,20337.5
78,19751,19753.1,19754.5,20666.6,20666.6
79,20001,20003.0,20005.0,20557.8,20557.8
