,true,optimal,backpack,backpack_relaxed
0,11,12.8,12.2,12.2
1,21,23.1,23.4,23.4
2,31,20.8,33.8,33.8
3,41,30.6,45.6,45.6
4,51,40.4,55.9,55.9
5,61,62.8,67.7,67.7
6,71,73.2,78.6,78.6
7,81,82.8,89.3,89.3
8,91,92.7,99.9,99.9
9,101,102.9,111.2,111.2
10,111,42.8,122.7,122.7
11,121,62.5,132.2,132.2
12,131,82.4,142.9,142.9
13,141,71.8,155.9,155.9
14,151,60.2,164.5,164.5
15,161,100.4,175.2,175.2
16,171,109.5,188.9,188.9
17,181,130.4,198.3,198.3
18,191,150.3,209.9,209.9
19,201,171.1,219.5,219.5
20,211,201.6,228.2,228.2
21,221,223.0,239.6,239.6
22,231,150.3,254.0,254.0
23,241,170.9,266.4,266.4
24,251,204.8,274.2,274.2
25,261,263.0,285.4,285.4
26,271,261.2,293.7,293.7
27,281,282.8,305.3,305.3
28,291,292.8,316.7,316.7
29,301,303.0,327.3,327.3
30,311,191.1,342.7,342.7
31,321,323.3,347.9,347.9
32,331,332.8,362.8,362.8
33,341,247.2,378.1,378.1
34,351,270.9,379.7,379.7
35,361,307.8,394.3,394.3
36,371,373.1,406.5,406.5
37,381,382.9,412.9,412.9
38,391,271.1,426.8,426.8
39,401,312.7,444.2,444.2
40,411,353.1,452.4,452.4
41,421,363.4,460.7,460.7
42,431,387.1,468.2,468.2
43,441,399.8,486.0,486.0
44,451,453.0,495.4,495.4
45,461,463.0,513.9,513.9
46,471,371.8,515.2,515.2
47,481,398.7,526.6,526.6
48,491,476.3,544.1,544.1
49,501,503.2,545.3,545.3
50,511,513.2,542.9,542.9
51,521,363.3,563.0,563.0
52,531,426.9,581.5,581.5
53,541,452.1,591.5,591.5
54,551,535.6,599.2,599.2
55,561,562.8,619.5,619.5
56,571,573.0,627.5,627.5
57,581,424.0,627.0,627.0
58,591,461.0,658.4,658.4
59,601,465.7,642.3,642.3
60,611,473.2,661.3,661.3
61,621,465.8,692.3,692.3
62,631,533.4,697.4,697.4
63,641,604.9,704.6,704.6
64,651,653.0,703.7,703.7
65,661,474.5,723.3,723.3
66,671,505.4,728.7,728.7
67,681,576.8,756.3,756.3
68,691,649.5,739.7,739.7
69,701,703.1,764.1,764.1
70,711,712.7,788.0,788.0
71,721,723.0,802.1,802.1
72,731,732.8,801.4,801.4
73,741,563.4,805.7,805.7
74,751,616.3,819.2,819.2
75,761,628.7,844.1,844.1
76,771,681.8,855.9,855.9
77,781,759.6,842.7,842.7
78,791,793.3,870.8,870.8
79,801,634.6,876.8,876.8
80,811,622.7,881.5,881.5
81,821,649.1,901.9,901.9
82,831,737.7,904.7,904.7
83,841,842.8,938.0,938.0
84,851,853.1,944.9,944.9
85,861,636.3,921.7,921.7
86,871,673.7,955.9,955.9
87,881,783.9,945.6,945.6
88,891,840.4,988.6,988.6
89,901,903.0,975.3,975.3
90,911,913.0,1018.3,1018.3
91,921,680.6,1007.5,1007.5
92,931,769.6,1044.8,1044.8
93,941,915.2,1026.8,1026.8
94,951,952.7,1019.0,1019.0
95,961,714.2,1047.5,1047.5
96,971,805.4,1081.1,1081.1
97,981,870.6,1067.9,1067.9
98,991,853.6,1064.2,1064.2
99,1001,918.5,1093.5,1093.5
